id,requirement,minimum_acceptance,status,implementation,tests,verification_evidence,blocker_reason,remaining_work
ACT-007,"Unknown or ambiguous values in a safety-relevant field SHALL produce ESCROW or DENY, never silent default ALLOW.",Fuzz tests show all unknown enum values fail safely.,PARTIAL,[],"[{""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-007: ambiguous encodings and unknown types rejected', () => {""}, {""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-007: oversized nesting and bodies rejected', () => { assert.throws(() => parseStrict('['.repeat(40) + '0' + ']'.repeat(40))); assert.throws(() => parseStrict(' '.repeat(1048577))); });""}, {""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('ACT-007 UX-002: unsupported or ambiguous currency scales fail rather than render a false amount', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-008,Every Action Capsule SHALL carry a schema identifier and schema digest.,A verifier rejects unsupported or tampered schema versions.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('ACT-008: tampered schema digest rejected', t => { const h = fixture(t); assert.throws(() => h.proposed(undefined, undefined, { schema_digest: 'f'.repeat(64) }), hasCode('INV-400-SCHEMA')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-009,Action schemas SHALL support nested resource scopes and explicit exclusions.,A data export can permit named columns while explicitly denying payment tokens.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-010,The platform SHALL provide human-readable rendering generated from the same canonical fields used for signing.,Changing a rendered safety-relevant value changes the signed digest.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('ACT-010: material change or graph change invalidates exact approval', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-011,Action Capsule identifiers SHALL be globally unique within a tenant and collision-resistant.,Duplicate capsule submission is detected and rejected.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('ACT-011 COM-006: proposal idempotency returns exact first result; changed request rejected', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-012,The platform SHALL support action composition while preventing a composed action from silently acquiring authority not present in its children.,A multi-step workflow is denied when any child capability is missing or broader than allowed.,VERIFIED,"[""src/composition.mjs"", ""src/fabric.mjs"", ""src/target.mjs""]","[{""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('ACT-012 COM-005 UX-006: atomic batch commits every exact child and rejects replay, missing or reversed authority', t => {""}, {""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""for (const fault of ['child-1', 'before-commit', 'after-commit', 'process-crash']) test(`COM-005 COM-012 ACT-012: atomic ${fault} preserves all-or-none state and durable replay protection`, t => {""}, {""file"": ""tests/atomic-batch.test.mjs"", ""declaration"": ""test('COM-005 COM-004 ACT-012: stale last child rolls back all reservations, not just target writes', t => {""}, {""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('ACT-012: deterministic nested composition rejects cycles, duplicates, hidden and missing authority', () => {""}, {""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('ACT-012 UX-006: exact batch signatures execute each child once and never manufacture child authority', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""ACT-012 COM-005 UX-006: atomic batch commits every exact child and rejects replay, missing or reversed authority"", ""COM-005 COM-012 ACT-012: atomic child-1 preserves all-or-none state and durable replay protection"", ""COM-005 COM-012 ACT-012: atomic before-commit preserves all-or-none state and durable replay protection"", ""COM-005 COM-012 ACT-012: atomic after-commit preserves all-or-none state and durable replay protection"", ""COM-005 COM-012 ACT-012: atomic process-crash preserves all-or-none state and durable replay protection"", ""COM-005 COM-004 ACT-012: stale last child rolls back all reservations, not just target writes"", ""ACT-012: deterministic nested composition rejects cycles, duplicates, hidden and missing authority"", ""ACT-012 UX-006: exact batch signatures execute each child once and never manufacture child authority""], ""source_hashes"": {""src/composition.mjs"": ""5194c16969a4429d12ed9b9899b22bb54df6df12f9ce395cd8d3f0107070406c"", ""src/fabric.mjs"": ""7999a57727fbf4daf3ff25706e264d4f290a347cc65bb722f91e18ca667483ee"", ""src/target.mjs"": ""8fa29c7938b45d78eed615424967ecccdc91fe9386cae5a3eaa817e117ad4826"", ""tests/atomic-batch.test.mjs"": ""4c037a0513fdd0376e4494daa5f1e6f23fdc78368d076f64bd5b3b7596de67e9"", ""tests/completion-security.test.mjs"": ""0439d65482591c45546e77d06d085e332f9ea321c1f1fd1529e6782532c5bc4e""}}]",,
EVD-001,"Policy SHALL evaluate evidence by type, issuer, freshness, scope, confidence and trust domain.",Policy tests distinguish two pieces of evidence from the same compromised domain from two independent domains.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-001 EVD-002: correlated issuer and derivative evidence cannot satisfy independence', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-002,The Evidence Graph SHALL model dependency relationships so derivative evidence does not count as independent.,An invoice parsed from an email and the email itself count as one source domain.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-001 EVD-002: correlated issuer and derivative evidence cannot satisfy independence', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-003,"Every evidence item SHALL have an immutable reference, content digest, acquisition time, expiry and verification method.",Tampered evidence fails digest verification and invalidates dependent decisions.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-003: tampered issuer signature and wrong tenant evidence are rejected', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-004,"The system SHALL support customer-defined authoritative sources such as ERP, bank, HRIS, device attestation, legal registry and counterparty credential.",Policy can require one item from each selected domain.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-005,Communication channels SHALL default to explanatory evidence with zero authorising weight unless explicitly and narrowly configured.,A valid CEO email alone cannot satisfy a high-risk action policy.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-005 AIG-006: email/advisory evidence cannot confer authority', t => { const h = fixture(t), r = h.proposed(); h.evidence(r, { issuer: 'email' }); h.evidence(r, { issuer: 'bank', advisory: true }); h.approve(r); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'ESCROW'); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-006,Evidence acquisition SHALL be purpose-limited and minimise stored content.,The system stores extracted fields and digest when full content is not required.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-007,Evidence freshness requirements SHALL be action-specific.,A bank-ownership proof can expire sooner than a corporate registration proof.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-008,Evidence revocation SHALL invalidate all unexecuted certificates that depended on it.,Revoking a counterparty credential blocks pending actions immediately.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-008: evidence revocation invalidates pending certificate immediately', t => { const h = fixture(t), { record, certificate } = h.ready(), r = h.f.getCapsule(h.p(), record.capsule.capsule_id); h.f.revoke(h.p('security'), { kind: 'evidence', id: r.evidence[0], reason: 'Test source compromise' }); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-409-STATE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-009,"The platform SHALL distinguish missing evidence, conflicting evidence and unverifiable evidence in operator output.",Each state results in a different machine-readable reason code.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('EVD-009: conflicting evidence remains escrow despite sufficient positive sources', t => { const h = fixture(t), r = h.proposed(); h.evidence(r); h.evidence(r, { issuer: 'registry' }); h.evidence(r, { issuer: 'governance', claim: 'conflict' }); h.approve(r); assert.ok(h.f.evaluate(h.p(), r.capsule.capsule_id).reasons.some(x => x.code === 'EVIDENCE_CONFLICT')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-010,Evidence connectors SHALL expose provenance and transformation steps.,An auditor can determine whether a field came directly from the source or an AI extraction.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
EVD-011,AI-derived evidence SHALL be marked advisory and SHALL require deterministic or authoritative corroboration for high-risk actions.,Removing corroboration changes decision from ALLOW to ESCROW or DENY.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-001,"Policy evaluation SHALL be deterministic for the same capsule, evidence set, policy version and trusted time.",Repeated offline evaluation produces identical result and explanation.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('POL-001 POL-002 POL-015: exact inputs and trusted test time produce identical decision and reasons', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-002,"Policy decisions SHALL be one of ALLOW, SHIELD, ESCROW, DEFER or DENY.",No undefined decision reaches an execution gate.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('POL-001 POL-002 POL-015: exact inputs and trusted test time produce identical decision and reasons', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-003,ALLOW SHALL mean all mandatory conditions are met and the exact action may proceed.,Certificate issuance is possible only for ALLOW.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-003 POL-005: missing evidence/approvals cannot mint or execute', t => { const h = fixture(t), r = h.proposed(); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'ESCROW'); assert.throws(() => h.f.certificate(h.p(), r.capsule.capsule_id), hasCode('INV-412-EVIDENCE')); assert.throws(() => h.f.execute(h.p(), {}), hasCode('INV-401-SIGNATURE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-004,"SHIELD SHALL allow the action only after automatic risk-reducing transformation such as redaction, limit reduction, destination substitution or sandboxing.",Transformed capsule differs explicitly and requires re-evaluation.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('DAT-005 POL-004: restricted export requires explicit new SHIELD proposal', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-005,ESCROW SHALL hold the action pending required evidence or independent approval.,"Pending action cannot execute and has an owner, expiry and reason.",PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-003 POL-005: missing evidence/approvals cannot mint or execute', t => { const h = fixture(t), r = h.proposed(); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'ESCROW'); assert.throws(() => h.f.certificate(h.p(), r.capsule.capsule_id), hasCode('INV-412-EVIDENCE')); assert.throws(() => h.f.execute(h.p(), {}), hasCode('INV-401-SIGNATURE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-006,DEFER SHALL impose a defined time or state condition before re-evaluation.,Action remains non-executable until the timer/state predicate is met.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-006 COM-013: cooldown defers exact bank change', t => { const h = fixture(t), r = h.proposed('finance.bank.change', { bank_account: 'TESTBANK000002', currency: 'EUR' }); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'DEFER'); h.advance(60001); assert.equal(h.f.evaluate(h.p(), r.capsule.capsule_id).decision, 'ESCROW'); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-007,DENY SHALL permanently reject the evaluated action instance and record a reason.,The same capsule nonce cannot be resubmitted after DENY.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-007: denied nonce cannot be revived or re-evaluated', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-008,"Policies SHALL be versioned, signed, testable and deployable through staged environments.",Production policy version maps to a reviewed commit and signature.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-009,Safety-relevant policy changes SHALL themselves be protected actions.,Changing an export limit requires a PolicyChange capsule and governance route.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-014 POL-009: 3-of-5 customer software quorum protects exact policy activation', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-010,The system SHALL render an exact policy diff and simulated impact before activation.,"Reviewer sees affected action classes, tenants and historical decisions.",PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-010: exact candidate simulation required before policy certificate', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('POL-010 UX-008: policy simulation records diff without activating candidate', t => { const h = fixture(t); h.proposed(); const p = clone(h.f.policy('acme')); p.rules['finance.payment.first'].max_quantity = 10; const result = h.f.simulate(h.p('policy-admin'), p); assert.ok(result.diff.length); assert.equal(result.activation, false); assert.notEqual(h.f.policy('acme').rules['finance.payment.first'].max_quantity, 10); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-011,"Policies SHALL support separation of duties, rolling budgets, cool-down periods, threshold approvals, destination allowlists, device health and state predicates.",Each control has executable test cases.,PARTIAL,[],"[{""file"": ""tests/extended-security.test.mjs"", ""declaration"": ""test('IDN-001 POL-011: an initiator cannot approve their own protected action even with an eligible signing key', t => {""}, {""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('POL-011: duplicate signer cannot satisfy threshold', t => { const h = fixture(t), r = h.proposed(); h.evidence(r); h.evidence(r, { issuer: 'registry' }); h.approve(r, 1); assert.throws(() => h.approve(r, 1), hasCode('INV-409-REPLAY')); assert.throws(() => h.f.certificate(h.p(), r.capsule.capsule_id), hasCode('INV-412-EVIDENCE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-012,No single vendor-controlled credential SHALL be able to activate a customer root policy.,Vendor compromise simulation cannot satisfy activation threshold.,PARTIAL,[],"[{""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('POL-012: fewer than 3 customer bootstrap signers cannot start the service', t => { const h = fixture(t), config = clone(h.setup.config); config.tenants.acme.genesis_signatures.length = 2; assert.throws(() => { const f = new h.f.constructor(config, h.directory, h.now); f.close(); }, hasCode('INV-503-CONFIG')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-013,"Emergency policies SHALL be pre-defined, narrow, expiring and observable; no universal bypass SHALL exist.","Emergency test proves scope, expiry and alerts.",PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('POL-013 POL-014: emergency requires simulation and quorum, restricts exact scope, expires without reviving revocations', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
POL-014,Policy rollback SHALL require protection equivalent to activation and SHALL not revive revoked keys or invalid evidence.,Rollback tests preserve revocations and audit continuity.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('POL-013 POL-014: emergency requires simulation and quorum, restricts exact scope, expires without reviving revocations', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
